Get-Command *Print*

CommandType     Name                                               Version    Source
-----------     ----                                               -------    ------
Function        Add-Printer                                        1.1        PrintManagement
Function        Add-PrinterDriver                                  1.1        PrintManagement
Function        Add-PrinterPort                                    1.1        PrintManagement
Function        Get-PrintConfiguration                             1.1        PrintManagement
Function        Get-Printer                                        1.1        PrintManagement
Function        Get-PrinterDriver                                  1.1        PrintManagement
Function        Get-PrinterPort                                    1.1        PrintManagement
Function        Get-PrinterProperty                                1.1        PrintManagement
Function        Get-PrintJob                                       1.1        PrintManagement
Function        Read-PrinterNfcTag                                 1.1        PrintManagement
Function        Remove-Printer                                     1.1        PrintManagement
Function        Remove-PrinterDriver                               1.1        PrintManagement
Function        Remove-PrinterPort                                 1.1        PrintManagement
Function        Remove-PrintJob                                    1.1        PrintManagement
Function        Rename-Printer                                     1.1        PrintManagement
Function        Restart-PrintJob                                   1.1        PrintManagement
Function        Resume-PrintJob                                    1.1        PrintManagement
Function        Set-PrintConfiguration                             1.1        PrintManagement
Function        Set-Printer                                        1.1        PrintManagement
Function        Set-PrinterProperty                                1.1        PrintManagement
Function        Suspend-PrintJob                                   1.1        PrintManagement
Function        Write-PrinterNfcTag                                1.1        PrintManagement
